Inventāra Nr.	Nosaukums	Autors	Gads	Tehnika	Platums (m)	Augstums (m)	Svars (kg)	Montāžas augstums (m)	Attēla fails
ASN-045	Džungļu sonāte	Maija Tabaka	1981	Audekls, eļļa	1.40	1.20	48.0	1.00	catalog_images/ASN-045.png
ASN-046	Sarkanā karaliene	Aija Zariņa	1989	Audekls, eļļa	1.25	1.25	35.0	1.10	catalog_images/ASN-046.png
ASN-047	Klusā klātbūtne	Ieva Iltnere	1994	Audekls, eļļa, pigments	1.15	1.35	44.0	1.10	catalog_images/ASN-047.png
ASN-048	Dzeltenā zīme kosmosā	Jānis Mitrēvics	1991	Audekls, jaukta tehnika	1.30	1.10	39.0	1.10	catalog_images/ASN-048.png
ASN-049	Ziemeļu saule pār mežu	Kristaps Ģelzis	2001	Polietilēns, akrils uz koka	1.00	1.35	32.0	1.10	catalog_images/ASN-049.png
ASN-050	Gājējs rīta miglā	Kaspars Zariņš	1998	Audekls, eļļa	1.20	1.00	30.0	1.20	catalog_images/ASN-050.png
ASN-051	Untitled (Yellow and Blue)	Mark Rothko	1954	Audekls, eļļa	1.15	1.40	40.0	1.10	catalog_images/ASN-051.png
ASN-052	Kompozīcija ar sarkanu, zilu un dzeltenu	Piet Mondrian	1929	Audekls, eļļa	0.80	0.80	18.0	1.30	catalog_images/ASN-052.png
ASN-053	Dinamiskais supremātisms Nr. 57	Kazimir Malevich	1916	Audekls, eļļa	1.00	1.00	25.0	1.20	catalog_images/ASN-053.png
ASN-054	Improvizācija 28	Wassily Kandinsky	1912	Audekls, eļļa	1.25	1.10	33.0	1.10	catalog_images/ASN-054.png
ASN-055	Proun 19D (Telpiskais vektors)	El Lissitzky	1922	Audekls, kolāža, eļļa	0.90	1.25	28.0	1.20	catalog_images/ASN-055.png
ASN-056	Mīlestības valoda	Sarmīte Māliņa	2008	Koka kārba, laka, emalja	0.85	0.85	26.0	1.30	catalog_images/ASN-056.png
ASN-057	Zemes slāņi un saknes	Andris Eglītis	2012	Audekls, māls, eļļa	1.35	1.15	52.0	1.00	catalog_images/ASN-057.png
ASN-058	Rīts ar ābolu un grāmatu	Bruno Vasiļevskis	1981	Audekls, eļļa	0.80	1.00	20.0	1.20	catalog_images/ASN-058.png
ASN-059	Rudenī pie Gaujas	Vilhelms Purvītis	1928	Audekls, eļļa	1.40	0.90	31.0	1.20	catalog_images/ASN-059.png
ASN-060	Princese ar pērtiķi	Janis Rozentāls	1913	Audekls, eļļa	0.95	1.35	36.0	1.10	catalog_images/ASN-060.png
ASN-061	Klintis Staburaga tuvumā	Konrāds Ubāns	1939	Audekls, eļļa	1.30	0.85	29.0	1.20	catalog_images/ASN-061.png
ASN-062	Zivis uz avīzes fona	Leo Svemps	1960	Audekls, eļļa	1.10	0.90	25.0	1.20	catalog_images/ASN-062.png
ASN-063	Pašportrets ar melnu cepuri	Jānis Pauļuks	1962	Audekls, eļļa	0.90	1.15	27.0	1.20	catalog_images/ASN-063.png
ASN-064	Kariatīde telpā	Džemma Skulme	1982	Audekls, akrils, kolāža	1.05	1.40	47.0	1.00	catalog_images/ASN-064.png
ASN-065	Regīnas portrets vakarkleitā	Maija Tabaka	1979	Audekls, eļļa	1.20	1.30	42.0	1.10	catalog_images/ASN-065.png
ASN-066	Pavasara ziemeļu elpa	Vilhelms Purvītis	1930	Audekls, eļļa	1.80	1.40	58.0	1.00	catalog_images/ASN-066.png
ASN-067	Mūžīgais miers (Ainava ar ezeru)	Vilhelms Purvītis	1925	Audekls, eļļa	2.00	1.50	68.0	0.90	catalog_images/ASN-067.png
ASN-068	Nāve un meitene	Janis Rozentāls	1907	Audekls, eļļa	1.50	1.80	62.0	1.00	catalog_images/ASN-068.png
ASN-069	Peldētāji zēni saulrietā	Johans Valters	1900	Audekls, eļļa	1.70	1.30	52.0	1.00	catalog_images/ASN-069.png
ASN-070	Rituālā ceremonija	Voldemārs Matvejs	1913	Audekls, eļļa	1.60	2.10	74.0	0.90	catalog_images/ASN-070.png
ASN-071	Pusdienas laiks druvā	Ģederts Eliass	1935	Audekls, eļļa	2.10	1.60	70.0	0.90	catalog_images/ASN-071.png
ASN-072	Lielā Daugava vējā	Jānis Pauļuks	1953	Audekls, eļļa	1.90	1.50	64.0	1.00	catalog_images/ASN-072.png
ASN-073	Paaudzes	Džemma Skulme	1975	Audekls, akrils, jaukta tehnika	1.80	1.80	66.0	0.90	catalog_images/ASN-073.png
ASN-074	Zemes elpa un magmatiskais spēks	Ojārs Ābols	1976	Audekls, jaukta tehnika, smiltis, reljefs	1.70	2.00	82.0	0.90	catalog_images/ASN-074.png
ASN-075	Siena pļāvēji pusdienā	Boriss Bērziņš	1982	Koka masīvs panelis, eļļa, zelta grunts	1.60	1.60	76.0	1.00	catalog_images/ASN-075.png
ASN-076	Lūgšana par mieru	Ilmārs Blumbergs	1998	Audekls, akrils, ogle, zelts	2.20	1.70	78.0	0.80	catalog_images/ASN-076.png
ASN-077	Kāzas Rundāles pilī	Maija Tabaka	1986	Audekls, eļļa, masīvs baroka rāmis	2.10	1.80	85.0	0.80	catalog_images/ASN-077.png
ASN-078	Koloristiskā ilūzija telpā	Miervaldis Polis	1989	Audekls, eļļa	1.90	1.90	65.0	0.90	catalog_images/ASN-078.png
ASN-079	Nakts gaisma pār Rīgu	Līga Purmale	1992	Audekls, eļļa	2.00	1.40	56.0	1.00	catalog_images/ASN-079.png
ASN-080	Vasaras pilnbrieds un ziedi	Juris Jurjāns	1995	Audekls, eļļa	1.80	2.10	75.0	0.80	catalog_images/ASN-080.png
ASN-081	Monumentālā kompozīcija VIII	Henrihs Vorkals	1987	Audekls, sietspiede, akrils	2.20	1.50	60.0	0.90	catalog_images/ASN-081.png
ASN-082	Eiropas nolaupīšana	Aija Zariņa	1990	Audekls, eļļa	2.00	2.00	72.0	0.90	catalog_images/ASN-082.png
ASN-083	Gaisa spēki un zilā telpa	Kristaps Ģelzis	2007	Pigmenta druka uz dibond alumīnija	1.70	1.60	48.0	1.00	catalog_images/ASN-083.png
ASN-084	Ierakumi mežā (Zemes konstrukcija)	Andris Eglītis	2015	Audekls, zeme, koks, eļļa	2.10	1.50	88.0	0.90	catalog_images/ASN-084.png
ASN-085	Bābele	Ieva Iltnere	2004	Audekls, eļļa	1.80	1.60	55.0	1.00	catalog_images/ASN-085.png
ASN-086	No. 14 (White and Greens on Blue)	Mark Rothko	1957	Audekls, eļļa	1.50	2.20	64.0	0.80	catalog_images/ASN-086.png
ASN-087	Supremātisms (Balts uz balta)	Kazimir Malevich	1918	Audekls, eļļa	1.50	1.50	46.0	1.10	catalog_images/ASN-087.png
ASN-088	Kompozīcija VIII	Wassily Kandinsky	1923	Audekls, eļļa	2.00	1.40	58.0	1.00	catalog_images/ASN-088.png
ASN-089	Lielā telpiskā konstrukcija	Gustavs Klucis	1922	Finieris, metāla detaļas, emalja	1.60	1.90	92.0	0.90	catalog_images/ASN-089.png
ASN-090	Nakts debesis (Zvaigžņu lauks)	Vija Celmiņa	1995	Audekls, eļļa	1.90	2.10	70.0	0.80	catalog_images/ASN-090.png
ASN-091	Monumentālā pavasara ainava (Panorāma)	Vilhelms Purvītis	1935	Audekls, eļļa, masīvs ozola dubultrāmis	2.60	1.80	115.0	0.80	catalog_images/ASN-091.png
ASN-092	Zemgales lauku epopeja (Triptiks)	Ģederts Eliass	1938	Koka trīsdaļu panelis, eļļa	2.80	1.90	135.0	0.80	catalog_images/ASN-092.png
ASN-093	Lielā ritmiskā simfonija	Jānis Pauļuks	1965	Audekls, eļļa, tērauda iekšējais karkass	2.40	1.80	105.0	0.90	catalog_images/ASN-093.png
ASN-094	Vēstures liecinieki (Diptiks)	Džemma Skulme	1985	Audekls, akrils, masīvs alumīnija profils	2.50	2.00	120.0	0.80	catalog_images/ASN-094.png
ASN-095	Tektoniskais lūzums un telpa	Ojārs Ābols	1980	Koka un betona kompozīcija, polimēri	2.30	2.40	140.0	0.80	catalog_images/ASN-095.png
ASN-096	Ceļš uz gaismu (Monumentālais panelis)	Ilmārs Blumbergs	2002	Saplāksnis, jaukta tehnika, dzelzs karkass	2.70	1.80	125.0	0.80	catalog_images/ASN-096.png
ASN-097	Rīgas leģenda (Diptiks)	Maija Tabaka	1984	Audekls, eļļa, masīvkoka profils	2.60	2.20	130.0	0.80	catalog_images/ASN-097.png
ASN-098	Latvijas ainava 360°	Kristaps Ģelzis	2011	Lielformāta dubultpanelis, luminiscējoša krāsa, dibonds	2.80	2.20	110.0	0.80	catalog_images/ASN-098.png
ASN-099	Ziemeļu meža katedrāle (Diptiks)	Andris Eglītis	2018	Audekls, ozolkoka karkass, dabīgie pigmenti	2.50	2.20	138.0	0.80	catalog_images/ASN-099.png
ASN-100	Monumental Black on Maroon (Mural Diptych)	Mark Rothko	1958	Audekls, eļļa, pastiprināts tērauda apakšrāmis	2.40	2.40	95.0	0.80	catalog_images/ASN-100.png
